pelr0123,item,no.required,not incl vat,incl VAT,,Ordered?,Received?,,,,
,"Bi-directional 4 way logic level shifter converter PCB module, £1.35",3,NA,4.05,0,3,0,,Ebay,https://www.ebay.co.uk/itm/195572988505,
,"WAGO 233-504 4 Pole 6A 2.54mm Push Button PCB Terminal Block Orange, MCU PCB requires 255 individual connections.",64,0.201,NA,360,0,0,,Rapid,https://www.rapidonline.com/wago-233-504-4-pole-6a-2-54mm-push-button-pcb-terminal-block-orange-21-5788,
,"WAGO PCB Terminal Block, 12-Contact, 2.54mm Pitch, Through Hole Mount, 1-Row, Solder Termination RS Stock No.: 181-4664 Mfr. Part No.: 233-512, bag of 5",25,25.5,124.25,360,0,0,,Rsonline,https://uk.rs-online.com/web/p/pcb-terminal-blocks/1814664,
*,"Panasonic 470μF Aluminium Electrolytic Capacitor 16V dc, Surface Mount - EEEFK1C471P RS Stock No. 537-0477 ",2,0.198,0.4752,,,,,Rsonline,https://uk.rs-online.com/web/p/products/5370477/,
,"Red, green and blue 0603 LEDs",3,,,,,,,,,
,NPN transistor,1,,,,,,,,,
,"Capacitor, 0603, 0.1 uF",2,,,,,,,,,
,"5mm pitch connector, 2 way",1,,,7,0,0,,,,
Below MCU board,"Stand offs M4 x 45, male – female, 6 of",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,318.2136,,,,,,,
Usage,item,no.required,not incl vat,Total incl VAT,In Stock?,Ordered?,Received?,Del Date,Supplier,,
,-------------------------- High side switch PCB ----------------------------------------------------------------,,,,,,,,,,
,"WAGO 2604-3104 - Wire-To-Board Terminal Block, 5 mm, 4 Ways, 24 AWG, 12 AWG, 4 mm², Push In  WAGO Order Code: 2749676 ",20,2.92,49.056,0,0,0,,Farnell,https://uk.farnell.com/wago/2604-3104/tb-wire-to-brd-4pos-12awg/dp/2749676,
,"BTS441RGATMA1, IC PWR SWITCH N-CHAN 1:1 TO263-5, High side switch",20,3.78,36.288,6,2,0,,Farnell,https://uk.farnell.com/infineon/bts441rgatma1/power-load-sw-high-side-43v-to/dp/2480564,
,Stand offs,?,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,132.956,,,,,,,
,,,,718.4872,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,DC 8-40V to 12V 13.8V Power Converter 3A 5A 6A 10A 15A 20A 25A 30A Boost Buck Regulator Stabilizer Voltage Supply Module for Car,,,￡14.49,,,,,Aliexpress,https://www.aliexpress.com/item/1005007198118897.html,
," 12.1 Inch Outdoor 1000Nits Front Panel Wterproof 1920*1200 Industrial Touch Screen Monitor Open Frame Mount LCD Display HDMI/VGACapacitive touch, ",,,￡189.62,,,,,Aliexpress,https://www.aliexpress.com/item/1005009653555858.html,
, HG140 15W 30W 45W 100W Industrial Cabinet Heater 35mm Din Rail Type Fan Heater PTC Sermiconductor Heater Work with ThermostatHG140 15W,,,￡9.09,,,,,Aliexpress,https://www.aliexpress.com/item/1005007957018105.html,
, Dual Digital Thermostat Temperature Humidity Control STC-3028 Thermometer Hygrometer Incubator Controller AC 220V DC 12V 24VSTC-3028 110-220V,,,£13.00,,,,,Aliexpress,https://www.aliexpress.com/item/1005008793518397.html,
,,,,,,,,,,,
,UGREEN 4K Displayport to HDMI Adapter Uni-Directional Braided DP to HDMI Cable A,,,£13.90,,,,,Ebay,https://www.ebay.co.uk/itm/389686635476,
,2x4M Foam Weather Strip Draught Excluder Tape Insulation Sticky Seal Door Window,,,£5.10,,,,,Ebay,https://www.ebay.co.uk/itm/177849495163?var=477421611581,
,Open Grommets Black Rubber 6mm 9mm 12mm 16mm 20mm 25mm 32mm 38mm 50mmPack Size: 10  Size: 25mm,,,£4.39,,,,,Ebay,https://www.ebay.co.uk/itm/254874913146?var=554716072208,
,USB 3.0 A Male to Male Plug Cable Lead High Speed 50cm 1m 2m 3m 5m  Length: 3m,,,£4.39,,,,,Ebay,https://www.ebay.co.uk/itm/264387402888?var=564004020011,
,Cat6 Ethernet Cable RJ45 Network Lead Internet 0.5m/1m/2m/3m/5m/10m/20m/30m lot  Cable Length: 2 m,,,£3.79,,,,,Ebay,https://www.ebay.co.uk/itm/267543287122?var=567359014893,
,,,,,,,,,,,
,"NOCO GENIUS10 10-Amp Battery Charger , with power supply mode.",,,£139.95,,,,,Halfords,,
,Wire Harness For NOCO GC008 X-Connect Eyelet Terminal With M10(3/8in) Eyelets,,,£7.98,,,,,Ebay,,
,,,,,,,,,,,
Hydraulic acyuators x 2,Thin High Precision 0.005mm Slim Linear Scale TTL 50 100 150 200 250 300 350 400mm 20x28mm Small Encoder Grating Ruler Sensor,2,,£42.89,,,,,Aliexpress,https://www.aliexpress.com/item/1005005831365373.html?spm=a2g0o.order_list.order_list_main.5.21ef1802koreHV,
